 >TARPBXN : slab+disk; XS2,XS3,YS,ZS= 15.0000  0.0000 24.0000 24.0000
      9312 = NAT 
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
   0.50000   0.50000   0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    314   1  -1   2 1 1 1
    315   2  -1   2 1 1 1
    316   3  -1   2 1 1 1
    317   4  -1   2 1 1 1
    318   5  -1   2 1 1 1
    319   0  -1   3 1 1 1
    320   1  -1   3 1 1 1
    321   2  -1   3 1 1 1
    322   3  -1   3 1 1 1
    323   4  -1   3 1 1 1
    324   5  -1   3 1 1 1
    325   0  -1   4 1 1 1
    326   1  -1   4 1 1 1
    327   2  -1   4 1 1 1
    328   3  -1   4 1 1 1
    329   4  -1   4 1 1 1
    330   5  -1   4 1 1 1
    331   0  -1   5 1 1 1
    332   1  -1   5 1 1 1
    333   2  -1   5 1 1 1
    334   3  -1   5 1 1 1
    335   4  -1   5 1 1 1
    336   5  -1   5 1 1 1
    337   0   0  -6 1 1 1
    338   1   0  -6 1 1 1
    339   2   0  -6 1 1 1
    340   3   0  -6 1 1 1
    341   4   0  -6 1 1 1
    342   5   0  -6 1 1 1
    343   0   0  -5 1 1 1
    344   1   0  -5 1 1 1
    345   2   0  -5 1 1 1
    346   3   0  -5 1 1 1
    347   4   0  -5 1 1 1
    348   5   0  -5 1 1 1
    349   0   0  -4 1 1 1
    350   1   0  -4 1 1 1
    351   2   0  -4 1 1 1
    352   3   0  -4 1 1 1
    353   4   0  -4 1 1 1
    354   5   0  -4 1 1 1
    355   0   0  -3 1 1 1
    356   1   0  -3 1 1 1
    357   2   0  -3 1 1 1
    358   3   0  -3 1 1 1
    359   4   0  -3 1 1 1
    360   5   0  -3 1 1 1
    361   0   0  -2 1 1 1
    362   1   0  -2 1 1 1
    363   2   0  -2 1 1 1
    364   3   0  -2 1 1 1
    365   4   0  -2 1 1 1
    366   5   0  -2 1 1 1
    367   0   0  -1 1 1 1
    368   1   0  -1 1 1 1
    369   2   0  -1 1 1 1
    370   3   0  -1 1 1 1
    371   4   0  -1 1 1 1
    372   5   0  -1 1 1 1
    373   0   0   0 1 1 1
    374   1   0   0 1 1 1
    375   2   0   0 1 1 1
    376   3   0   0 1 1 1
    377   4   0   0 1 1 1
    378   5   0   0 1 1 1
    379   0   0   1 1 1 1
    380   1   0   1 1 1 1
    381   2   0   1 1 1 1
    382   3   0   1 1 1 1
    383   4   0   1 1 1 1
    384   5   0   1 1 1 1
    385   0   0   2 1 1 1
    386   1   0   2 1 1 1
    387   2   0   2 1 1 1
    388   3   0   2 1 1 1
    389   4   0   2 1 1 1
    390   5   0   2 1 1 1
    391   0   0   3 1 1 1
    392   1   0   3 1 1 1
