 >TARELL  ellipsoidal grain; AX,AY,AZ= 49.4900 49.4900 49.4900
     63461 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
  -0.00000  -0.00000  -0.00000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    342   -3    6  -23 1 1 1
    343   -2    6  -23 1 1 1
    344   -1    6  -23 1 1 1
    345    0    6  -23 1 1 1
    346    1    6  -23 1 1 1
    347    2    6  -23 1 1 1
    348    3    6  -23 1 1 1
    349    4    6  -23 1 1 1
    350    5    6  -23 1 1 1
    351    6    6  -23 1 1 1
    352   -5    7  -23 1 1 1
    353   -4    7  -23 1 1 1
    354   -3    7  -23 1 1 1
    355   -2    7  -23 1 1 1
    356   -1    7  -23 1 1 1
    357    0    7  -23 1 1 1
    358    1    7  -23 1 1 1
    359    2    7  -23 1 1 1
    360    3    7  -23 1 1 1
    361    4    7  -23 1 1 1
    362    5    7  -23 1 1 1
    363   -4    8  -23 1 1 1
    364   -3    8  -23 1 1 1
    365   -2    8  -23 1 1 1
    366   -1    8  -23 1 1 1
    367    0    8  -23 1 1 1
    368    1    8  -23 1 1 1
    369    2    8  -23 1 1 1
    370    3    8  -23 1 1 1
    371    4    8  -23 1 1 1
    372   -1    9  -23 1 1 1
    373    0    9  -23 1 1 1
    374    1    9  -23 1 1 1
    375   -2  -11  -22 1 1 1
    376   -1  -11  -22 1 1 1
    377    0  -11  -22 1 1 1
    378    1  -11  -22 1 1 1
    379    2  -11  -22 1 1 1
    380   -5  -10  -22 1 1 1
    381   -4  -10  -22 1 1 1
    382   -3  -10  -22 1 1 1
    383   -2  -10  -22 1 1 1
    384   -1  -10  -22 1 1 1
    385    0  -10  -22 1 1 1
    386    1  -10  -22 1 1 1
    387    2  -10  -22 1 1 1
    388    3  -10  -22 1 1 1
    389    4  -10  -22 1 1 1
    390    5  -10  -22 1 1 1
    391   -6   -9  -22 1 1 1
    392   -5   -9  -22 1 1 1
    393   -4   -9  -22 1 1 1
    394   -3   -9  -22 1 1 1
    395   -2   -9  -22 1 1 1
    396   -1   -9  -22 1 1 1
    397    0   -9  -22 1 1 1
    398    1   -9  -22 1 1 1
    399    2   -9  -22 1 1 1
    400    3   -9  -22 1 1 1
    401    4   -9  -22 1 1 1
    402    5   -9  -22 1 1 1
    403    6   -9  -22 1 1 1
    404   -8   -8  -22 1 1 1
    405   -7   -8  -22 1 1 1
    406   -6   -8  -22 1 1 1
    407   -5   -8  -22 1 1 1
    408   -4   -8  -22 1 1 1
    409   -3   -8  -22 1 1 1
    410   -2   -8  -22 1 1 1
    411   -1   -8  -22 1 1 1
    412    0   -8  -22 1 1 1
    413    1   -8  -22 1 1 1
    414    2   -8  -22 1 1 1
    415    3   -8  -22 1 1 1
    416    4   -8  -22 1 1 1
    417    5   -8  -22 1 1 1
    418    6   -8  -22 1 1 1
    419    7   -8  -22 1 1 1
    420    8   -8  -22 1 1 1
    421   -8   -7  -22 1 1 1
    422   -7   -7  -22 1 1 1
    423   -6   -7  -22 1 1 1
    424   -5   -7  -22 1 1 1
    425   -4   -7  -22 1 1 1
    426   -3   -7  -22 1 1 1
    427   -2   -7  -22 1 1 1
    428   -1   -7  -22 1 1 1
    429    0   -7  -22 1 1 1
    430    1   -7  -22 1 1 1
    431    2   -7  -22 1 1 1
    432    3   -7  -22 1 1 1
    433    4   -7  -22 1 1 1
    434    5   -7  -22 1 1 1
    435    6   -7  -22 1 1 1
    436    7   -7  -22 1 1 1
    437    8   -7  -22 1 1 1
    438   -9   -6  -22 1 1 1
    439   -8   -6  -22 1 1 1
    440   -7   -6  -22 1 1 1
